time,variable,value
1724909191.215715641,total_needed,0
1724909191.215715641,error,0
1724909191.215715641,control_signal,0
1724909196.397831555,total_needed,0
1724909196.397831555,error,0
1724909196.397831555,control_signal,0
1724909201.560223874,total_needed,0
1724909201.560223874,error,0
1724909201.560223874,control_signal,0
1724909206.726881496,total_needed,0
1724909206.726881496,error,0
1724909206.726881496,control_signal,0
1724909211.891108788,total_needed,0
1724909211.891108788,error,0
1724909211.891108788,control_signal,0
1724909217.56703785,total_needed,0
1724909217.56703785,error,0
1724909217.56703785,control_signal,0
1724909222.218582996,total_needed,0
1724909222.218582996,error,0
1724909222.218582996,control_signal,0
1724909227.377621152,total_needed,0
1724909227.377621152,error,0
1724909227.377621152,control_signal,0
1724909232.550621301,total_needed,0
1724909232.550621301,error,0
1724909232.550621301,control_signal,0
1724909237.710775387,total_needed,0
1724909237.710775387,error,0
1724909237.710775387,control_signal,0
1724909242.924860375,total_needed,0
1724909242.924860375,error,0
1724909242.924860375,control_signal,0
1724909248.143358254,total_needed,0
1724909248.143358254,error,0
1724909248.143358254,control_signal,0
1724909253.374130137,total_needed,335.0
1724909253.374130137,error,1650.0
1724909253.374130137,control_signal,21450.0
1724909258.570170919,total_needed,880.0
1724909258.570170919,error,4715.0
1724909258.570170919,control_signal,56345.0
1724909263.852083447,total_needed,1330.0
1724909263.852083447,error,7640.0
1724909263.852083447,control_signal,85175.0
1724909269.68343883,total_needed,1721.0
1724909269.68343883,error,10238.0
1724909269.68343883,control_signal,110174.0
1724909274.252392741,total_needed,1582.0
1724909274.252392741,error,10152.0
1724909274.252392741,control_signal,101262.0
1724909279.459993067,total_needed,1411.0
1724909279.459993067,error,9294.0
1724909279.459993067,control_signal,90366.0
1724909284.643468530,total_needed,1285.0
1724909284.643468530,error,8474.0
1724909284.643468530,control_signal,82280.0
1724909289.877042044,total_needed,1193.0
1724909289.877042044,error,7830.0
1724909289.877042044,control_signal,76368.0
1724909295.62539632,total_needed,1051.0
1724909295.62539632,error,6985.0
1724909295.62539632,control_signal,67315.0
1724909300.262528421,total_needed,829.0
1724909300.262528421,error,5697.0
1724909300.262528421,control_signal,53106.0
1724909305.480025150,total_needed,686.0
1724909305.480025150,error,4694.0
1724909305.480025150,control_signal,43931.0
1724909310.692170632,total_needed,487.0
1724909310.692170632,error,3481.0
1724909310.692170632,control_signal,31171.0
1724909315.932130511,total_needed,415.0
1724909315.932130511,error,2851.0
1724909315.932130511,control_signal,26620.0
1724909321.181709846,total_needed,356.0
1724909321.181709846,error,2411.0
1724909321.181709846,control_signal,22790.0
