time,variable,value
1726728746.565743516,total_needed,0.0
1726728746.565743516,error,0
1726728746.565743516,control_signal,0.0
1726728746.565743516,consumer_spawned,0
1726728748.669943003,total_needed,0.0
1726728748.669943003,error,0
1726728748.669943003,control_signal,0.0
1726728748.669943003,consumer_spawned,0
1726728750.764287569,total_needed,0.0
1726728750.764287569,error,0
1726728750.764287569,control_signal,0.0
1726728750.764287569,consumer_spawned,0
1726728752.868829364,total_needed,0.0
1726728752.868829364,error,0
1726728752.868829364,control_signal,0.0
1726728752.868829364,consumer_spawned,0
1726728754.990623601,total_needed,0.0
1726728754.990623601,error,0
1726728754.990623601,control_signal,0.0
1726728754.990623601,consumer_spawned,0
1726728757.88554668,total_needed,0.0
1726728757.88554668,error,0
1726728757.88554668,control_signal,0.0
1726728757.88554668,consumer_spawned,0
1726728759.194433063,total_needed,0.0
1726728759.194433063,error,0
1726728759.194433063,control_signal,0.0
1726728759.194433063,consumer_spawned,0
1726728761.289994237,total_needed,0.0
1726728761.289994237,error,0
1726728761.289994237,control_signal,0.0
1726728761.289994237,consumer_spawned,0
1726728763.391337713,total_needed,0.0
1726728763.391337713,error,0
1726728763.391337713,control_signal,0.0
1726728763.391337713,consumer_spawned,0
1726728765.488481226,total_needed,0.0
1726728765.488481226,error,0
1726728765.488481226,control_signal,0.0
1726728765.488481226,consumer_spawned,0
1726728767.585136742,total_needed,0.0
1726728767.585136742,error,0
1726728767.585136742,control_signal,0.0
1726728767.585136742,consumer_spawned,0
1726728769.680248678,total_needed,0.0
1726728769.680248678,error,0
1726728769.680248678,control_signal,0.0
1726728769.680248678,consumer_spawned,0
1726728771.784098167,total_needed,0.0
1726728771.784098167,error,0
1726728771.784098167,control_signal,0.0
1726728771.784098167,consumer_spawned,0
1726728773.884963204,total_needed,0.0
1726728773.884963204,error,0
1726728773.884963204,control_signal,0.0
1726728773.884963204,consumer_spawned,0
1726728776.2718222,total_needed,0.0
1726728776.2718222,error,0
1726728776.2718222,control_signal,0.0
1726728776.2718222,consumer_spawned,0
1726728778.91944492,total_needed,0.0
1726728778.91944492,error,0
1726728778.91944492,control_signal,0.0
1726728778.91944492,consumer_spawned,0
1726728780.203883317,total_needed,0.0
1726728780.203883317,error,0
1726728780.203883317,control_signal,0.0
1726728780.203883317,consumer_spawned,0
1726728782.313023238,total_needed,0.0
1726728782.313023238,error,0
1726728782.313023238,control_signal,0.0
1726728782.313023238,consumer_spawned,1
1726728784.421830890,total_needed,0.0
1726728784.421830890,error,0
1726728784.421830890,control_signal,0.0
1726728784.421830890,consumer_spawned,1
1726728786.546600571,total_needed,0.0
1726728786.546600571,error,0
1726728786.546600571,control_signal,0.0
1726728786.546600571,consumer_spawned,1
1726728788.656966585,total_needed,0.0
1726728788.656966585,error,0
1726728788.656966585,control_signal,0.0
1726728788.656966585,consumer_spawned,1
1726728790.772260569,total_needed,0.0
1726728790.772260569,error,0
1726728790.772260569,control_signal,0.0
1726728790.772260569,consumer_spawned,1
1726728792.898246643,total_needed,0.0
1726728792.898246643,error,0
1726728792.898246643,control_signal,0.0
1726728792.898246643,consumer_spawned,1
1726728795.18531803,total_needed,0.0
1726728795.18531803,error,0
1726728795.18531803,control_signal,0.0
1726728795.18531803,consumer_spawned,1
1726728797.143247160,total_needed,0.0
1726728797.143247160,error,0
1726728797.143247160,control_signal,0.0
1726728797.143247160,consumer_spawned,1
1726728799.266974094,total_needed,0.0
1726728799.266974094,error,0
1726728799.266974094,control_signal,0.0
1726728799.266974094,consumer_spawned,1
1726728801.396310316,total_needed,1.0
1726728801.396310316,error,83.0
1726728801.396310316,control_signal,124.5
1726728801.396310316,consumer_spawned,1
1726728803.543289254,total_needed,19.0
1726728803.543289254,error,864.0
1726728803.543289254,control_signal,1254.5
1726728803.543289254,consumer_spawned,1
1726728805.670803023,total_needed,34.0
1726728805.670803023,error,1768.0
1726728805.670803023,control_signal,2220.0
1726728805.670803023,consumer_spawned,5
1726728807.800488822,total_needed,37
1726728807.800488822,error,3443.0
1726728807.800488822,control_signal,4280.5
1726728807.800488822,consumer_spawned,11
1726728809.923228160,total_needed,37
1726728809.923228160,error,4131.0
1726728809.923228160,control_signal,4475.0
1726728809.923228160,consumer_spawned,11
1726728812.41070367,total_needed,37
1726728812.41070367,error,4532.0
1726728812.41070367,control_signal,4732.5
1726728812.41070367,consumer_spawned,14
1726728814.149222860,total_needed,37
1726728814.149222860,error,4284.0
1726728814.149222860,control_signal,4160.0
1726728814.149222860,consumer_spawned,15
1726728816.270251039,total_needed,37
1726728816.270251039,error,4262.0
1726728816.270251039,control_signal,4251.0
1726728816.270251039,consumer_spawned,15
1726728818.416554944,total_needed,37
1726728818.416554944,error,4160.0
1726728818.416554944,control_signal,4109.0
1726728818.416554944,consumer_spawned,16
1726728820.504716747,total_needed,37
1726728820.504716747,error,3769.0
1726728820.504716747,control_signal,3573.5
1726728820.504716747,consumer_spawned,20
1726728822.610809092,total_needed,37
1726728822.610809092,error,3692.0
1726728822.610809092,control_signal,3653.5
1726728822.610809092,consumer_spawned,26
1726728824.730601191,total_needed,37
1726728824.730601191,error,3673.0
1726728824.730601191,control_signal,3663.5
1726728824.730601191,consumer_spawned,30
1726728826.821777964,total_needed,37
1726728826.821777964,error,3320.0
1726728826.821777964,control_signal,3143.5
1726728826.821777964,consumer_spawned,34
1726728828.912554944,total_needed,37
1726728828.912554944,error,3171.0
1726728828.912554944,control_signal,3096.5
1726728828.912554944,consumer_spawned,28
1726728831.2643686,total_needed,37
1726728831.2643686,error,2778.0
1726728831.2643686,control_signal,2581.5
1726728831.2643686,consumer_spawned,28
1726728833.114924105,total_needed,31.0
1726728833.114924105,error,2271.0
1726728833.114924105,control_signal,2017.5
1726728833.114924105,consumer_spawned,27
1726728835.229659415,total_needed,27.0
1726728835.229659415,error,1922.0
1726728835.229659415,control_signal,1747.5
1726728835.229659415,consumer_spawned,27
1726728837.361389676,total_needed,27.0
1726728837.361389676,error,1818.0
1726728837.361389676,control_signal,1766.0
1726728837.361389676,consumer_spawned,27
1726728839.490572854,total_needed,26.0
1726728839.490572854,error,1737.0
1726728839.490572854,control_signal,1696.5
1726728839.490572854,consumer_spawned,27
1726728841.605670189,total_needed,25.0
1726728841.605670189,error,1674.0
1726728841.605670189,control_signal,1642.5
1726728841.605670189,consumer_spawned,26
1726728843.746645447,total_needed,24.0
1726728843.746645447,error,1612.0
1726728843.746645447,control_signal,1581.0
1726728843.746645447,consumer_spawned,25
1726728845.884252257,total_needed,23.0
1726728845.884252257,error,1526.0
1726728845.884252257,control_signal,1483.0
1726728845.884252257,consumer_spawned,24
1726728848.42743309,total_needed,22.0
1726728848.42743309,error,1453.0
1726728848.42743309,control_signal,1416.5
1726728848.42743309,consumer_spawned,23
1726728850.206698534,total_needed,20.0
1726728850.206698534,error,1366.0
1726728850.206698534,control_signal,1322.5
1726728850.206698534,consumer_spawned,22
1726728852.382386998,total_needed,19.0
1726728852.382386998,error,1284.0
1726728852.382386998,control_signal,1243.0
1726728852.382386998,consumer_spawned,20
1726728854.506657019,total_needed,18.0
1726728854.506657019,error,1201.0
1726728854.506657019,control_signal,1159.5
1726728854.506657019,consumer_spawned,19
1726728856.637272891,total_needed,16.0
1726728856.637272891,error,1125.0
1726728856.637272891,control_signal,1087.0
1726728856.637272891,consumer_spawned,18
1726728858.774934840,total_needed,15.0
1726728858.774934840,error,1050.0
1726728858.774934840,control_signal,1012.5
1726728858.774934840,consumer_spawned,16
1726728860.890428799,total_needed,14.0
1726728860.890428799,error,958.0
1726728860.890428799,control_signal,912.0
1726728860.890428799,consumer_spawned,15
1726728863.29504222,total_needed,11.0
1726728863.29504222,error,792.0
1726728863.29504222,control_signal,709.0
1726728863.29504222,consumer_spawned,14
1726728865.159919865,total_needed,8.0
1726728865.159919865,error,637.0
1726728865.159919865,control_signal,559.5
1726728865.159919865,consumer_spawned,11
1726728867.282948739,total_needed,6.0
1726728867.282948739,error,480.0
1726728867.282948739,control_signal,401.5
1726728867.282948739,consumer_spawned,8
1726728869.377589287,total_needed,3.0
1726728869.377589287,error,320.0
1726728869.377589287,control_signal,240.0
1726728869.377589287,consumer_spawned,6
1726728871.498731536,total_needed,0.0
1726728871.498731536,error,136.0
1726728871.498731536,control_signal,44.0
1726728871.498731536,consumer_spawned,3
1726728873.619977785,total_needed,-2.0
1726728873.619977785,error,0.0
1726728873.619977785,control_signal,-68.0
1726728873.619977785,consumer_spawned,3
