time,variable,value
1725076823.952998872,total_needed,0.0
1725076823.952998872,error,0
1725076823.952998872,control_signal,0.0
1725076826.30287688,total_needed,0.0
1725076826.30287688,error,0
1725076826.30287688,control_signal,0.0
1725076828.109285803,total_needed,0.0
1725076828.109285803,error,0
1725076828.109285803,control_signal,0.0
1725076830.202355902,total_needed,3.0
1725076830.202355902,error,94.0
1725076830.202355902,control_signal,235.0
1725076832.313527120,total_needed,55.0
1725076832.313527120,error,1474.0
1725076832.313527120,control_signal,3544.0
1725076834.434889943,total_needed,105.0
1725076834.434889943,error,3588.0
1725076834.434889943,control_signal,6759.0
1725076836.535597703,total_needed,92.0
1725076836.535597703,error,4526.0
1725076836.535597703,control_signal,5933.0
1725076838.617612336,total_needed,92.0
1725076838.617612336,error,5073.0
1725076838.617612336,control_signal,5893.5
1725076840.698323182,total_needed,88.0
1725076840.698323182,error,5301.0
1725076840.698323182,control_signal,5643.0
1725076842.772101380,total_needed,89.0
1725076842.772101380,error,5464.0
1725076842.772101380,control_signal,5708.5
1725076844.899948601,total_needed,104.0
1725076844.899948601,error,5946.0
1725076844.899948601,control_signal,6669.0
1725076846.996935236,total_needed,96.0
1725076846.996935236,error,6043.0
1725076846.996935236,control_signal,6188.5
1725076849.74285130,total_needed,81.0
1725076849.74285130,error,5705.0
1725076849.74285130,control_signal,5198.0
1725076851.163351370,total_needed,87.0
1725076851.163351370,error,5651.0
1725076851.163351370,control_signal,5570.0
1725076853.246447306,total_needed,73.0
1725076853.246447306,error,5263.0
1725076853.246447306,control_signal,4681.0
1725076855.325246585,total_needed,69.0
1725076855.325246585,error,4944.0
1725076855.325246585,control_signal,4465.5
1725076857.395993273,total_needed,67.0
1725076857.395993273,error,4702.0
1725076857.395993273,control_signal,4339.0
1725076859.503927689,total_needed,44.0
1725076859.503927689,error,3965.0
1725076859.503927689,control_signal,2859.5
1725076861.597325339,total_needed,50.0
1725076861.597325339,error,3682.0
1725076861.597325339,control_signal,3257.5
1725076863.687520807,total_needed,46.0
1725076863.687520807,error,3404.0
1725076863.687520807,control_signal,2987.0
1725076865.762276551,total_needed,-52.0
1725076865.762276551,error,724.0
1725076865.762276551,control_signal,-3296.0
1725076867.851738700,total_needed,3.0
1725076867.851738700,error,522.0
1725076867.851738700,control_signal,219.0
1725076869.936074279,total_needed,-3.0
1725076869.936074279,error,241.0
1725076869.936074279,control_signal,-180.5
1725076872.3790693,total_needed,-4.0
1725076872.3790693,error,44.0
1725076872.3790693,control_signal,-251.5
1725076874.123728088,total_needed,0.0
1725076874.123728088,error,41.0
1725076874.123728088,control_signal,36.5
1725076876.207485517,total_needed,-1.0
1725076876.207485517,error,9.0
1725076876.207485517,control_signal,-39.0
1725076878.283807221,total_needed,-1.0
1725076878.283807221,error,5.0
1725076878.283807221,control_signal,-1.0
1725076880.375841210,total_needed,0.0
1725076880.375841210,error,16.0
1725076880.375841210,control_signal,32.5
1725076882.446299308,total_needed,-1.0
1725076882.446299308,error,2.0
1725076882.446299308,control_signal,-19.0
1725076884.553081616,total_needed,0.0
1725076884.553081616,error,9.0
1725076884.553081616,control_signal,19.5
1725076886.649780888,total_needed,-1.0
1725076886.649780888,error,2.0
1725076886.649780888,control_signal,-8.5
1725076888.757990592,total_needed,0.0
1725076888.757990592,error,6.0
1725076888.757990592,control_signal,12.0
1725076890.842505484,total_needed,-1.0
1725076890.842505484,error,0.0
1725076890.842505484,control_signal,-9.0
1725076892.933460877,total_needed,0.0
1725076892.933460877,error,0.0
1725076892.933460877,control_signal,0.0
1725076895.21813282,total_needed,0.0
1725076895.21813282,error,0.0
1725076895.21813282,control_signal,0.0
1725076897.112072607,total_needed,0.0
1725076897.112072607,error,0.0
1725076897.112072607,control_signal,0.0
1725076899.207054748,total_needed,0.0
1725076899.207054748,error,0.0
1725076899.207054748,control_signal,0.0
1725076901.307490672,total_needed,0.0
1725076901.307490672,error,0.0
1725076901.307490672,control_signal,0.0
