time,variable,value
1725070591.308021730,total_needed,0.0
1725070591.308021730,error,0
1725070591.308021730,control_signal,0.0
1725070593.379930868,total_needed,0.0
1725070593.379930868,error,0
1725070593.379930868,control_signal,0.0
1725070595.442111102,total_needed,0.0
1725070595.442111102,error,0
1725070595.442111102,control_signal,0.0
1725070597.508597938,total_needed,0.0
1725070597.508597938,error,0
1725070597.508597938,control_signal,0.0
1725070599.580955733,total_needed,0.0
1725070599.580955733,error,0
1725070599.580955733,control_signal,0.0
1725070601.645692974,total_needed,0.0
1725070601.645692974,error,0
1725070601.645692974,control_signal,0.0
1725070603.722909785,total_needed,0.0
1725070603.722909785,error,0
1725070603.722909785,control_signal,0.0
1725070605.793375277,total_needed,0.0
1725070605.793375277,error,0
1725070605.793375277,control_signal,0.0
1725070607.858010991,total_needed,0.0
1725070607.858010991,error,0
1725070607.858010991,control_signal,0.0
1725070609.921892748,total_needed,0.0
1725070609.921892748,error,0
1725070609.921892748,control_signal,0.0
1725070611.988113125,total_needed,0.0
1725070611.988113125,error,0
1725070611.988113125,control_signal,0.0
1725070614.54517089,total_needed,0.0
1725070614.54517089,error,0
1725070614.54517089,control_signal,0.0
1725070616.127862903,total_needed,0.0
1725070616.127862903,error,0
1725070616.127862903,control_signal,0.0
1725070618.196921845,total_needed,0.0
1725070618.196921845,error,0
1725070618.196921845,control_signal,0.0
1725070620.267419117,total_needed,0.0
1725070620.267419117,error,0
1725070620.267419117,control_signal,0.0
1725070622.333690795,total_needed,0.0
1725070622.333690795,error,0
1725070622.333690795,control_signal,0.0
1725070624.397812225,total_needed,0.0
1725070624.397812225,error,0
1725070624.397812225,control_signal,0.0
1725070626.467334189,total_needed,0.0
1725070626.467334189,error,0
1725070626.467334189,control_signal,0.0
1725070628.529070061,total_needed,0.0
1725070628.529070061,error,0
1725070628.529070061,control_signal,0.0
1725070630.599407333,total_needed,0.0
1725070630.599407333,error,0
1725070630.599407333,control_signal,0.0
1725070632.663502155,total_needed,0.0
1725070632.663502155,error,0
1725070632.663502155,control_signal,0.0
1725070634.744332837,total_needed,0.0
1725070634.744332837,error,0
1725070634.744332837,control_signal,0.0
1725070636.822866414,total_needed,0.0
1725070636.822866414,error,0
1725070636.822866414,control_signal,0.0
1725070638.907899216,total_needed,0.0
1725070638.907899216,error,0
1725070638.907899216,control_signal,0.0
1725070640.990346938,total_needed,0.0
1725070640.990346938,error,0
1725070640.990346938,control_signal,0.0
1725070643.79831142,total_needed,0.0
1725070643.79831142,error,0
1725070643.79831142,control_signal,0.0
1725070645.170665960,total_needed,9.0
1725070645.170665960,error,96.0
1725070645.170665960,control_signal,624.0
1725070647.258611789,total_needed,93.0
1725070647.258611789,error,939.0
1725070647.258611789,control_signal,5959.5
1725070649.352404198,total_needed,246.0
1725070649.352404198,error,2641.0
1725070649.352404198,control_signal,15758.0
1725070651.441379268,total_needed,319.0
1725070651.441379268,error,3760.0
1725070651.441379268,control_signal,20478.5
1725070653.546822517,total_needed,400.0
1725070653.546822517,error,4810.0
1725070653.546822517,control_signal,25625.0
1725070655.619973696,total_needed,425.0
1725070655.619973696,error,5304.0
1725070655.619973696,control_signal,27261.0
1725070657.728184747,total_needed,456.0
1725070657.728184747,error,5721.0
1725070657.728184747,control_signal,29230.5
1725070659.810559498,total_needed,498.0
1725070659.810559498,error,6233.0
1725070659.810559498,control_signal,31933.0
1725070661.915098887,total_needed,499.0
1725070661.915098887,error,6354.0
1725070661.915098887,control_signal,31951.5
1725070663.987955937,total_needed,478.0
1725070663.987955937,error,6182.0
1725070663.987955937,control_signal,30652.0
1725070666.61831372,total_needed,464.0
1725070666.61831372,error,5996.0
1725070666.61831372,control_signal,29701.0
1725070668.131790865,total_needed,454.0
1725070668.131790865,error,5858.0
1725070668.131790865,control_signal,29083.0
1725070670.214396811,total_needed,431.0
1725070670.214396811,error,5596.0
1725070670.214396811,control_signal,27587.0
1725070672.317537118,total_needed,391.0
1725070672.317537118,error,5144.0
1725070672.317537118,control_signal,25042.0
1725070674.395814365,total_needed,378.0
1725070674.395814365,error,4916.0
1725070674.395814365,control_signal,24238.0
1725070676.455926643,total_needed,291.0
1725070676.455926643,error,4008.0
1725070676.455926643,control_signal,18678.0
1725070678.524312662,total_needed,235.0
1725070678.524312662,error,3244.0
1725070678.524312662,control_signal,15074.0
1725070680.615858275,total_needed,181.0
1725070680.615858275,error,2538.0
1725070680.615858275,control_signal,11631.0
1725070682.699010790,total_needed,144.0
1725070682.699010790,error,2007.0
1725070682.699010790,control_signal,9238.5
1725070684.789735489,total_needed,121.0
1725070684.789735489,error,1659.0
1725070684.789735489,control_signal,7773.0
1725070686.894104109,total_needed,92.0
1725070686.894104109,error,1290.0
1725070686.894104109,control_signal,5896.5
1725070688.969610875,total_needed,77.0
1725070688.969610875,error,1060.0
1725070688.969610875,control_signal,4955.0
1725070691.48019817,total_needed,71.0
1725070691.48019817,error,949.0
1725070691.48019817,control_signal,4578.5
1725070693.143608029,total_needed,67.0
1725070693.143608029,error,879.0
1725070693.143608029,control_signal,4290.0
1725070695.216092343,total_needed,63.0
1725070695.216092343,error,832.0
1725070695.216092343,control_signal,4089.5
1725070697.315404589,total_needed,57.0
1725070697.315404589,error,754.0
1725070697.315404589,control_signal,3653.0
1725070699.403143014,total_needed,49.0
1725070699.403143014,error,660.0
1725070699.403143014,control_signal,3159.0
1725070701.497837373,total_needed,41.0
1725070701.497837373,error,557.0
1725070701.497837373,control_signal,2630.5
1725070703.585182442,total_needed,32.0
1725070703.585182442,error,445.0
1725070703.585182442,control_signal,2057.0
1725070705.696369611,total_needed,21.0
1725070705.696369611,error,310.0
1725070705.696369611,control_signal,1347.5
1725070707.784921386,total_needed,3.0
1725070707.784921386,error,110.0
1725070707.784921386,control_signal,250.0
1725070709.864902790,total_needed,-3.0
1725070709.864902790,error,0.0
1725070709.864902790,control_signal,-165.0
1725070711.957387116,total_needed,0.0
1725070711.957387116,error,0.0
1725070711.957387116,control_signal,0.0
1725070714.50903503,total_needed,0.0
1725070714.50903503,error,0.0
1725070714.50903503,control_signal,0.0
1725070716.147347736,total_needed,0.0
1725070716.147347736,error,0.0
1725070716.147347736,control_signal,0.0
1725070718.247956316,total_needed,0.0
1725070718.247956316,error,0.0
1725070718.247956316,control_signal,0.0
