time,variable,value
1725894318.357724413,total_needed,0.0
1725894318.357724413,error,0
1725894318.357724413,control_signal,0.0
1725894320.430702215,total_needed,0.0
1725894320.430702215,error,0
1725894320.430702215,control_signal,0.0
1725894322.496621496,total_needed,0.0
1725894322.496621496,error,0
1725894322.496621496,control_signal,0.0
1725894324.561126247,total_needed,0.0
1725894324.561126247,error,0
1725894324.561126247,control_signal,0.0
1725894326.637228173,total_needed,0.0
1725894326.637228173,error,0
1725894326.637228173,control_signal,0.0
1725894328.704665053,total_needed,0.0
1725894328.704665053,error,0
1725894328.704665053,control_signal,0.0
1725894330.779540688,total_needed,0.0
1725894330.779540688,error,0
1725894330.779540688,control_signal,0.0
1725894332.856816306,total_needed,0.0
1725894332.856816306,error,0
1725894332.856816306,control_signal,0.0
1725894334.934599140,total_needed,0.0
1725894334.934599140,error,0
1725894334.934599140,control_signal,0.0
1725894337.11556560,total_needed,0.0
1725894337.11556560,error,0
1725894337.11556560,control_signal,0.0
1725894339.92015276,total_needed,0.0
1725894339.92015276,error,0
1725894339.92015276,control_signal,0.0
1725894341.175472778,total_needed,8.0
1725894341.175472778,error,262.0
1725894341.175472778,control_signal,524.0
1725894343.263014982,total_needed,28.0
1725894343.263014982,error,1033.0
1725894343.263014982,control_signal,1804.0
1725894345.337130496,total_needed,69.0
1725894345.337130496,error,2746.0
1725894345.337130496,control_signal,4459.0
1725894347.411214360,total_needed,63.0
1725894347.411214360,error,3390.0
1725894347.411214360,control_signal,4034.0
1725894349.478952708,total_needed,67.0
1725894349.478952708,error,3847.0
1725894349.478952708,control_signal,4304.0
1725894351.566512737,total_needed,61.0
1725894351.566512737,error,3899.0
1725894351.566512737,control_signal,3951.0
1725894353.657198605,total_needed,53.0
1725894353.657198605,error,3669.0
1725894353.657198605,control_signal,3439.0
1725894355.759555584,total_needed,70.0
1725894355.759555584,error,4097.0
1725894355.759555584,control_signal,4525.0
1725894357.870860617,total_needed,74.0
1725894357.870860617,error,4444.0
1725894357.870860617,control_signal,4791.0
1725894359.936769530,total_needed,70.0
1725894359.936769530,error,4468.0
1725894359.936769530,control_signal,4492.0
1725894362.24848543,total_needed,62.0
1725894362.24848543,error,4237.0
1725894362.24848543,control_signal,4006.0
1725894364.91194396,total_needed,39.0
1725894364.91194396,error,3370.0
1725894364.91194396,control_signal,2503.0
1725894366.171112653,total_needed,32.0
1725894366.171112653,error,2728.0
1725894366.171112653,control_signal,2086.0
1725894368.225328984,total_needed,30.0
1725894368.225328984,error,2339.0
1725894368.225328984,control_signal,1950.0
1725894370.286970754,total_needed,18.0
1725894370.286970754,error,1752.0
1725894370.286970754,control_signal,1165.0
1725894372.353193953,total_needed,26.0
1725894372.353193953,error,1710.0
1725894372.353193953,control_signal,1668.0
1725894374.441366585,total_needed,15.0
1725894374.441366585,error,1355.0
1725894374.441366585,control_signal,1000.0
1725894376.513214131,total_needed,19.0
1725894376.513214131,error,1309.0
1725894376.513214131,control_signal,1263.0
1725894378.595423524,total_needed,15.0
1725894378.595423524,error,1135.0
1725894378.595423524,control_signal,961.0
1725894380.679228413,total_needed,14.0
1725894380.679228413,error,1021.0
1725894380.679228413,control_signal,907.0
1725894382.769244352,total_needed,12.0
1725894382.769244352,error,923.0
1725894382.769244352,control_signal,825.0
1725894384.853192271,total_needed,11.0
1725894384.853192271,error,817.0
1725894384.853192271,control_signal,711.0
1725894386.949327816,total_needed,10.0
1725894386.949327816,error,738.0
1725894386.949327816,control_signal,659.0
1725894389.48465476,total_needed,9.0
1725894389.48465476,error,659.0
1725894389.48465476,control_signal,580.0
1725894391.149488406,total_needed,8.0
1725894391.149488406,error,590.0
1725894391.149488406,control_signal,521.0
1725894393.239181087,total_needed,6.0
1725894393.239181087,error,503.0
1725894393.239181087,control_signal,416.0
1725894395.299827192,total_needed,5.0
1725894395.299827192,error,425.0
1725894395.299827192,control_signal,347.0
1725894397.387878405,total_needed,4.0
1725894397.387878405,error,351.0
1725894397.387878405,control_signal,277.0
1725894399.491199156,total_needed,2.0
1725894399.491199156,error,262.0
1725894399.491199156,control_signal,173.0
1725894401.604522943,total_needed,0.0
1725894401.604522943,error,137.0
1725894401.604522943,control_signal,12.0
1725894403.693273807,total_needed,-3.0
1725894403.693273807,error,0.0
1725894403.693273807,control_signal,-137.0
1725894405.783129858,total_needed,0.0
1725894405.783129858,error,0.0
1725894405.783129858,control_signal,0.0
1725894407.873250416,total_needed,0.0
1725894407.873250416,error,0.0
1725894407.873250416,control_signal,0.0
1725894409.962445340,total_needed,0.0
1725894409.962445340,error,0.0
1725894409.962445340,control_signal,0.0
1725894412.43014506,total_needed,0.0
1725894412.43014506,error,0.0
1725894412.43014506,control_signal,0.0
