time,variable,value
1726727454.282292350,total_needed,0.0
1726727454.282292350,error,0
1726727454.282292350,control_signal,0.0
1726727454.282292350,consumer_spawned,0
1726727456.389110455,total_needed,0.0
1726727456.389110455,error,0
1726727456.389110455,control_signal,0.0
1726727456.389110455,consumer_spawned,0
1726727458.502289457,total_needed,0.0
1726727458.502289457,error,0
1726727458.502289457,control_signal,0.0
1726727458.502289457,consumer_spawned,0
1726727460.608375371,total_needed,0.0
1726727460.608375371,error,0
1726727460.608375371,control_signal,0.0
1726727460.608375371,consumer_spawned,0
1726727462.709347484,total_needed,0.0
1726727462.709347484,error,0
1726727462.709347484,control_signal,0.0
1726727462.709347484,consumer_spawned,0
1726727464.815537876,total_needed,0.0
1726727464.815537876,error,0
1726727464.815537876,control_signal,0.0
1726727464.815537876,consumer_spawned,0
1726727466.913238103,total_needed,0.0
1726727466.913238103,error,0
1726727466.913238103,control_signal,0.0
1726727466.913238103,consumer_spawned,0
1726727469.26370598,total_needed,0.0
1726727469.26370598,error,0
1726727469.26370598,control_signal,0.0
1726727469.26370598,consumer_spawned,0
1726727471.131152359,total_needed,0.0
1726727471.131152359,error,0
1726727471.131152359,control_signal,0.0
1726727471.131152359,consumer_spawned,0
1726727473.241282935,total_needed,0.0
1726727473.241282935,error,0
1726727473.241282935,control_signal,0.0
1726727473.241282935,consumer_spawned,0
1726727475.347100104,total_needed,0.0
1726727475.347100104,error,0
1726727475.347100104,control_signal,0.0
1726727475.347100104,consumer_spawned,0
1726727477.447265074,total_needed,0.0
1726727477.447265074,error,0
1726727477.447265074,control_signal,0.0
1726727477.447265074,consumer_spawned,0
1726727479.548109316,total_needed,0.0
1726727479.548109316,error,0
1726727479.548109316,control_signal,0.0
1726727479.548109316,consumer_spawned,0
1726727481.643651260,total_needed,0.0
1726727481.643651260,error,0
1726727481.643651260,control_signal,0.0
1726727481.643651260,consumer_spawned,0
1726727483.746744253,total_needed,0.0
1726727483.746744253,error,0
1726727483.746744253,control_signal,0.0
1726727483.746744253,consumer_spawned,0
1726727485.849481318,total_needed,0.0
1726727485.849481318,error,0
1726727485.849481318,control_signal,0.0
1726727485.849481318,consumer_spawned,0
1726727487.959678095,total_needed,0.0
1726727487.959678095,error,0
1726727487.959678095,control_signal,0.0
1726727487.959678095,consumer_spawned,1
1726727490.55067695,total_needed,0.0
1726727490.55067695,error,0
1726727490.55067695,control_signal,0.0
1726727490.55067695,consumer_spawned,1
1726727492.143671555,total_needed,0.0
1726727492.143671555,error,0
1726727492.143671555,control_signal,0.0
1726727492.143671555,consumer_spawned,1
1726727494.245598821,total_needed,0.0
1726727494.245598821,error,0
1726727494.245598821,control_signal,0.0
1726727494.245598821,consumer_spawned,1
1726727496.352481341,total_needed,0.0
1726727496.352481341,error,0
1726727496.352481341,control_signal,0.0
1726727496.352481341,consumer_spawned,1
1726727498.475268480,total_needed,0.0
1726727498.475268480,error,0
1726727498.475268480,control_signal,0.0
1726727498.475268480,consumer_spawned,1
1726727500.581493189,total_needed,0.0
1726727500.581493189,error,0
1726727500.581493189,control_signal,0.0
1726727500.581493189,consumer_spawned,1
1726727502.690530003,total_needed,0.0
1726727502.690530003,error,0
1726727502.690530003,control_signal,0.0
1726727502.690530003,consumer_spawned,1
1726727504.795620712,total_needed,0.0
1726727504.795620712,error,0
1726727504.795620712,control_signal,0.0
1726727504.795620712,consumer_spawned,1
1726727506.906039019,total_needed,0.0
1726727506.906039019,error,0
1726727506.906039019,control_signal,0.0
1726727506.906039019,consumer_spawned,1
1726727509.12311061,total_needed,0.0
1726727509.12311061,error,12.0
1726727509.12311061,control_signal,30.0
1726727509.12311061,consumer_spawned,1
1726727511.126615144,total_needed,9.0
1726727511.126615144,error,261.0
1726727511.126615144,control_signal,634.5
1726727511.126615144,consumer_spawned,1
1726727513.242629396,total_needed,32.0
1726727513.242629396,error,984.0
1726727513.242629396,control_signal,2068.5
1726727513.242629396,consumer_spawned,3
